iter	Passed	Remaining
753	16317	5323
754	16338	5301
755	16359	5279
756	16379	5257
757	16402	5236
758	16422	5214
759	16443	5192
760	16465	5171
761	16486	5149
762	16508	5127
763	16529	5105
764	16548	5083
765	16573	5062
766	16595	5041
767	16614	5019
768	16639	4998
769	16661	4976
770	16680	4954
771	16700	4932
772	16722	4910
773	16751	4891
774	16787	4873
775	16813	4853
776	16866	4840
777	16904	4823
778	16937	4804
779	16965	4785
780	16992	4764
781	17014	4743
782	17042	4723
783	17066	4701
784	17089	4680
785	17113	4659
786	17138	4638
787	17160	4616
788	17183	4595
789	17206	4573
790	17227	4551
791	17251	4530
792	17273	4509
793	17295	4487
794	17315	4464
795	17337	4443
796	17357	4420
797	17377	4398
798	17398	4376
799	17420	4355
800	17444	4333
801	17465	4311
802	17483	4289
803	17501	4266
804	17521	4244
805	17540	4221
806	17559	4199
807	17579	4177
808	17599	4155
809	17619	4132
810	17638	4110
811	17658	4088
812	17677	4066
813	17697	4043
814	17715	4021
815	17735	3999
816	17757	3977
817	17779	3955
818	17802	3934
819	17824	3912
820	17912	3905
821	17971	3891
822	17997	3870
823	18026	3850
824	18055	3829
825	18083	3809
826	18108	3788
827	18129	3766
828	18150	3743
829	18172	3722
830	18193	3700
831	18212	3677
832	18232	3655
833	18252	3632
834	18273	3610
835	18294	3588
836	18313	3566
837	18332	3543
838	18351	3521
839	18370	3499
840	18392	3477
841	18414	3455
842	18432	3432
843	18452	3410
844	18471	3388
845	18489	3365
846	18507	3343
847	18526	3320
848	18546	3298
849	18565	3276
850	18584	3254
851	18602	3231
852	18624	3209
853	18646	3187
854	18667	3165
855	18689	3143
856	18713	3122
857	18737	3101
858	18791	3084
859	18814	3062
860	18861	3045
861	18892	3024
862	18923	3004
863	18958	2984
864	18983	2962
865	19009	2941
866	19033	2919
867	19055	2897
868	19075	2875
869	19098	2853
870	19121	2832
871	19141	2809
872	19161	2787
873	19181	2765
874	19201	2743
875	19223	2721
876	19243	2698
877	19265	2676
878	19285	2654
879	19305	2632
880	19325	2610
881	19345	2588
882	19365	2565
883	19386	2543
884	19406	2521
885	19426	2499
886	19446	2477
887	19468	2455
888	19487	2433
889	19510	2411
890	19538	2390
891	19559	2368
892	19582	2346
893	19603	2324
894	19622	2302
895	19642	2279
896	19662	2257
897	19681	2235
898	19703	2213
899	19723	2191
900	19743	2169
901	19762	2147
902	19783	2125
903	19804	2103
904	19822	2080
905	19840	2058
906	19865	2036
907	19910	2017
908	19938	1996
909	19973	1975
910	20006	1954
911	20035	1933
912	20063	1911
913	20089	1890
914	20113	1868
915	20136	1846
916	20157	1824
917	20183	1802
918	20205	1780
919	20228	1759
920	20249	1736
921	20267	1714
922	20288	1692
923	20311	1670
924	20333	1648
925	20357	1626
926	20380	1604
927	20419	1584
928	20439	1562
929	20461	1540
930	20481	1517
931	20501	1495
932	20522	1473
933	20543	1451
934	20563	1429
935	20582	1407
936	20602	1385
937	20627	1363
938	20650	1341
939	20675	1319
940	20702	1298
941	20729	1276
942	20760	1254
943	20808	1234
944	20855	1213
945	20899	1192
946	20950	1172
947	20992	1151
948	21034	1130
